location,datetime,count
vrsic,2022-10-20,23
vrsic,2022-10-21,17
vrsic,2022-10-22,0
vrsic,2022-10-23,44
vrsic,2022-10-24,0
vrsic,2022-10-25,2
vrsic,2022-10-26,60
vrsic,2022-10-27,110
vrsic,2022-10-28,166
vrsic,2022-10-29,232
vrsic,2022-10-30,422
vrsic,2022-10-31,320
vrsic,2022-11-01,197
vrsic,2022-11-02,41
vrsic,2022-11-03,6
vrsic,2022-11-04,0
vrsic,2022-11-05,62
vrsic,2022-11-06,144
vrsic,2022-11-07,19
vrsic,2022-11-08,20
vrsic,2022-11-09,2
vrsic,2022-11-10,0
vrsic,2022-11-11,12
vrsic,2022-11-12,61
vrsic,2022-11-13,48
vrsic,2022-11-14,4
vrsic,2022-11-15,0
vrsic,2022-11-16,0
vrsic,2022-11-17,4
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-15,7
vrsic,2022-07-16,31
vrsic,2022-07-17,53
vrsic,2022-07-18,46
vrsic,2022-07-19,55
vrsic,2022-07-20,26
vrsic,2022-07-21,37
vrsic,2022-07-22,38
vrsic,2022-07-23,78
vrsic,2022-07-24,39
vrsic,2022-07-25,51
vrsic,2022-07-26,0
vrsic,2022-07-27,3
vrsic,2022-07-28,42
vrsic,2022-07-29,26
vrsic,2022-07-30,41
vrsic,2022-07-31,86
vrsic,2022-08-01,27
vrsic,2022-08-02,10
vrsic,2022-08-03,70
vrsic,2022-08-04,68
vrsic,2022-08-05,50
vrsic,2022-08-06,8
vrsic,2022-08-07,23
vrsic,2022-08-08,48
vrsic,2022-08-09,58
vrsic,2022-08-10,84
vrsic,2022-08-11,66
vrsic,2022-08-12,25
vrsic,2022-08-13,79
vrsic,2022-08-14,127
vrsic,2022-08-15,64
vrsic,2022-08-16,20
vrsic,2022-08-17,92
vrsic,2022-08-18,48
vrsic,2022-08-19,33
vrsic,2022-08-20,47
vrsic,2022-08-21,91
vrsic,2022-08-22,29
vrsic,2022-08-23,42
vrsic,2022-08-24,48
vrsic,2022-08-25,21
vrsic,2022-08-26,14
vrsic,2022-08-27,9
vrsic,2022-08-28,19
vrsic,2022-08-29,22
vrsic,2022-08-30,28
vrsic,2022-08-31,5
vrsic,2022-09-01,6
vrsic,2022-09-02,24
vrsic,2022-09-03,81
vrsic,2022-09-04,34
vrsic,2022-09-05,17
vrsic,2022-09-06,24
vrsic,2022-09-07,4
vrsic,2022-09-08,6
vrsic,2022-09-09,7
vrsic,2022-09-10,55
vrsic,2022-09-11,32
vrsic,2022-09-12,27
vrsic,2022-09-13,31
vrsic,2022-09-14,35
vrsic,2022-09-15,0
vrsic,2022-09-16,6
vrsic,2022-09-17,0
vrsic,2022-09-18,16
vrsic,2022-09-19,13
vrsic,2022-09-20,6
vrsic,2022-09-21,6
vrsic,2022-09-22,0
vrsic,2022-09-23,36
vrsic,2022-09-24,12
vrsic,2022-09-25,4
vrsic,2022-09-26,4
vrsic,2022-09-27,0
vrsic,2022-09-28,6
vrsic,2022-09-29,0
vrsic,2022-09-30,0
vrsic,2022-10-01,4
vrsic,2022-10-02,7
vrsic,2022-10-03,3
vrsic,2022-10-04,4
vrsic,2022-10-05,9
vrsic,2022-10-06,3
vrsic,2022-10-07,2
vrsic,2022-10-08,36
vrsic,2022-10-09,2
vrsic,2022-10-10,2
vrsic,2022-10-11,0
vrsic,2022-10-12,6
vrsic,2022-10-13,7
vrsic,2022-10-14,8
vrsic,2022-10-15,28
vrsic,2022-10-16,27
vrsic,2022-10-17,9
vrsic,2022-10-18,8
vrsic,2022-10-19,24
vrsic,2022-10-20,0
vrsic,2022-10-21,1
vrsic,2022-10-22,0
vrsic,2022-10-23,0
vrsic,2022-10-24,0
vrsic,2022-10-25,0
vrsic,2022-10-26,0
vrsic,2022-10-27,6
vrsic,2022-10-28,10
vrsic,2022-10-29,29
vrsic,2022-10-30,35
vrsic,2022-10-31,28
vrsic,2022-11-01,30
vrsic,2022-11-02,0
vrsic,2022-11-03,0
vrsic,2022-11-04,0
vrsic,2022-11-05,8
vrsic,2022-11-06,10
vrsic,2022-11-07,2
vrsic,2022-11-08,0
vrsic,2022-11-09,0
vrsic,2022-11-10,0
vrsic,2022-11-11,1
vrsic,2022-11-12,8
vrsic,2022-11-13,4
